name,type,country,corridors,description
"Sri Lanka","Country","LK","critical_minerals","Referenced in Atlas relationships."
"ST Telemedia Global Data Centres (India)","Private Company","SG","ai_infrastructure","~19% colocation share; $3.2bn / 550 MW India expansion; Singapore-state-linked top-three hosting capacity."
"STMicroelectronics","Foreign Supplier","CH","defence","SiC power devices; also the STM32 MCU family that dominates drone flight controllers. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Strategy for AI in Healthcare (SAHI)","Scheme / Programme","IN","ai_medtech","National strategy for AI in healthcare, launched Feb 2026."
"STT Chennai Siruseri campus","Facility / Plant","IN","ai_infrastructure","STT Chennai Siruseri is an AI-ready 45 MW campus, with the first 7.2 MW phase operational as of the February 2026 STT GDC announcement."
"STT GDC India","Private Company","SG","ai_infrastructure","STT GDC India is a major colocation operator with a large Indian footprint."
"Subex","Private Company","IN","enterprise_software","Listed Bengaluru telecom-analytics company; parent of the Sectrio OT/ICS security business."
"Submarine air-independent propulsion","Technology","IN","defence","DRDO fuel-cell AIP indigenous and maturing for Kalvari retrofit."
"Suchi Semicon","Private Company","IN","semiconductors","Surat-based OSAT approved by the Union Cabinet on 5 May 2026 (with Crystal Matrix, Rs 3,936 crore combined), rated at 1,033.20 million chips a year. One of the 12 approved ISM manufacturing units."
"Suki AI (India ops)","Private Company","US","ai_medtech","Suki AI site describes voice AI assistant; primarily US deployments with India R&D."
"Sumedha VLSI","Private Company","IN","semiconductors","Sumedha VLSI: VLSI training institute"
"Sumitomo Electric Industries — Compound Semiconductors","Foreign Supplier","JP","semiconductors","GaAs, InP substrates for RF and photonics"
"SunnySky","Foreign Supplier","CN","defence","Drone BLDC motors. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"SVOLT Energy Technology Co., Ltd.","Foreign Supplier","CN","critical_minerals","Chinese cell-technology and engineering partner to Exide Energy Solutions Ltd for the Bengaluru lithium-ion cell gigafactory."
"Synopsys","Foreign Supplier","US","semiconductors","EDA leader, ~31% market share; gross margins ~71%. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Synopsys India","Foreign Supplier","US","semiconductors","Top EDA supplier; major India R&D"
"Syrma SGS Technology","Private Company","IN","ai_medtech; semiconductors","EMS / PCB manufacture. Based in Chennai, Tamil Nadu; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"T-Motor","Foreign Supplier","CN","defence","Drone BLDC motors and ESCs; the global small-drone propulsion volume base. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Tactical & strategic missiles","Technology","IN","defence","DRDO depth: Astra, BrahMos, Agni, Akash. Among India's strongest sovereign capabilities."
"Taiwan Semiconductor Manufacturing Company","Foreign Supplier","TW","ai_infrastructure; ai_medtech; semiconductors","~70% global foundry share, >90% leading-edge; fabs all advanced AI silicon and India's DLI startup designs."
"TalentSprint","Private Company","IN","semiconductors","TalentSprint: VLSI and chip design upskilling; NSE/TCS JV"
"Tally Solutions","Private Company","IN","enterprise_software","Dominant Indian SME accounting software; domestic anchor at the low end."
"Tanaka Holdings","Foreign Supplier","JP","semiconductors","Japanese precious-metal bonding wire"
"Tata Advanced Materials","Private Company","IN","defence","Aerospace composites. Based in Bengaluru, Karnataka; stage: Conglomerate. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Tata Advanced Systems Limited","Private Company","IN","defence","Leading private aerospace/defence prime; shortlisted for AMCA prototype, ATAGS co-producer, C-295 assembly."
"Tata Chemicals","Private Company","IN","semiconductors","Indian silica and lithium carbonate; potential fab-grade chemicals"
"Tata Communications","Private Company","IN","","Tata Communications offers sovereign and AI cloud infrastructure, including NVIDIA GPU-backed Vayu AI Cloud, and is building AI-ready network connecti"
"Tata Communications Limited","Private Company","IN","ai_infrastructure","IndiaAI-empanelled compute provider and major subsea/network operator within the Tata ecosystem."
"Tata Consultancy Services","Private Company","IN","enterprise_software","Largest Indian IT-services firm; BaNCS core-banking/financial products. Embodies the services-not-products path dependency."
"Tata Electronics Private Limited","Private Company","IN","semiconductors","India's anchor fab/OSAT champion; operates the only approved domestic logic megafab and the Assam OSAT."
"Tata Elxsi","Private Company","IN","ai_medtech; semiconductors","Global ER&D services leader — ~Rs 3,729 crore revenue FY2024-25 at ~26% EBITDA margin (FY25), the proof point for India's ER&D/chip-design export thesis. Named in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Tata Medical Center, Kolkata","Research Institution","IN","ai_medtech","Tata Medical Center is a major oncology research institution collaborating with AI MedTech firms."
"Tata Projects Limited","Private Company","IN","semiconductors","Tata Projects: major Indian EPC; cleanroom and fab construction capability"
"Tata Semiconductor Assembly and Test","Facility / Plant","IN","semiconductors","India's largest indigenous OSAT (Jagiroad, Assam, ~Rs 27,000 cr); Phase 1 commissioning 2026."
"Tata Semiconductor Assembly and Test (TSAT)","Joint Venture","IN","semiconductors","Tata-PSMC JV; ATMP facility in Assam; first India-made chips"
"Tata Semiconductor Fab, Dholera","Facility / Plant","IN","semiconductors","India's first 300mm commercial logic fab (28-110nm, 50k WSPM, ~Rs 91,000 cr); the national fab chokepoint."
"Tata Semiconductor Manufacturing","Private Company","IN","semiconductors","Fab entity notified for the Dholera SEZ semiconductor fabrication facility."
"Tata Sons (Tata Group)","Private Company","IN","enterprise_software","Referenced in Atlas relationships."
"Tazmo Co., Ltd","Foreign Supplier","JP","semiconductors","Japanese coater/developer and wafer handling"
"Tekscend Photomask (former Toppan Photomasks)","Foreign Supplier","US","semiconductors","Tekscend Photomask (formerly Toppan Photomasks): world premiere provider of photomasks for semiconductors"
"Tessolve — Failure Analysis Lab","Private Company","IN","semiconductors","Tessolve FA lab; commercial failure analysis for OSATs"
"Tessolve — Verification","Private Company","IN","semiconductors","Tessolve verification arm: verification services"
"Tessolve Semiconductor","Private Company","IN","semiconductors","Tessolve: test engineering and failure analysis services"
"Tessolve Semiconductor — Failure Analysis Lab","Private Company","IN","semiconductors","Tessolve Reliability Qualification Lab: failure analysis for semiconductors"
"Tessolve Semiconductor — Test Services","Private Company","IN","semiconductors","Tessolve: Indian test engineering services company"
"Texas Instruments","Foreign Supplier","US","ai_medtech","ADC/DAC, PMIC and signal-chain analog ICs."
"Thales Group","Foreign Supplier","FR","defence","Thales; radar components, EW, IFF, optronics, RBE2 (Rafale); joint venture with BEL (BEL-Thassa)."
"Thermax Limited","Private Company","IN","semiconductors","Thermax: Indian environmental solutions leader; UPW and HVAC for fabs"
"ThyssenKrupp Marine Systems","Foreign Supplier","DE","defence","Design authority/technology partner for Project-75I submarines; supplies AIP and critical submarine tech."
"Titanium sponge","Mineral / Material","JP","defence","Titanium sponge; aerospace-grade; Japan (Toho Titanium, Sumitomo) and Kazakhstan dominate; MIDHANI downstream."
"Tokai Carbon Co., Ltd","Foreign Supplier","JP","semiconductors","Graphite electrodes and SiC-coated susceptors"
"Tokyo Electron Limited","Foreign Supplier","JP","semiconductors","~90% share of photoresist coat/develop track systems; coat/develop chokepoint for every India fab."
"Tokyo Ohka Kogyo","Foreign Supplier","JP","semiconductors","Photoresists — part of the ~87-91% Japanese hold on the photoresist market. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Tokyo Ohka Kogyo Co., Ltd (TOK)","Foreign Supplier","JP","semiconductors","Major photoresist supplier; broad portfolio"
"Tonbo Imaging","Private Company","IN","defence","Thermal / EO payloads and gimbals. Based in Bengaluru, Karnataka; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Toyota Kirloskar Motor","Private Company","JP","","EV / automotive. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"Toyotsu Rare Earths India Private Limited","Private Company","JP","critical_minerals; defence","Toyota Tsusho subsidiary processing IREL rare earths; its 2025 export-pact suspension marks India's conservation pivot."
"Tricog Health","Private Company","IN","ai_medtech","Tricog official website describes cloud ECG platform; ET reported Series B2 funding in 2021."
"Trivitron Healthcare","Private Company","IN","ai_medtech","Trivitron official site describes manufacturing footprint in Chennai and Visakhapatnam."
"Trixell","Foreign Supplier","FR","ai_medtech","Flat-panel detector JV (Thales/Siemens/Philips); dominant FPD supplier."
"TSMC","Foreign Supplier","TW","ai_infrastructure","TSMC is the leading foundry and advanced-packaging anchor for AI accelerators."
"Tungsten","Mineral / Material","IN","critical_minerals","Hardmetals, machining, defence penetrators. China mine production = 67,000 t of 81,000 t world total in 2024 (82.7%); holds ~52% of world reserves (2."
"TUV India","Private Company","IN","semiconductors","TUV India: safety and EMC testing"
"UE LifeSciences","Private Company","IN","ai_medtech","UE LifeSciences site describes iBreastExam; FDA 510(k) clearance documented."
"UL India","Private Company","IN","semiconductors","UL India: safety, EMC, and reliability testing"
"Uncooled thermal imaging cameras","Product / Component","IN","defence","Microbolometer-based thermal cameras for drone payloads; India integrates but imports detector cores. Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Unimicron","Foreign Supplier","TW","semiconductors","Taiwanese IC-substrate and PCB maker; one of three firms holding roughly 70% of the global package-substrate market."
"Unimicron Technology","Foreign Supplier","TW","semiconductors","Top 3 IC substrate supplier"
"Unimicron Technology Corporation","Foreign Supplier","TW","semiconductors","Major IC substrate and PCB supplier"
"Unique Identification Authority of India (UIDAI)","Govt Body / Regulator","IN","enterprise_software","Issuer of Aadhaar; foundational identity layer of Indian digital public infrastructure."
"United Imaging","Foreign Supplier","CN","ai_medtech","CT/MRI imaging systems."
"United Telelinks Neolyncs India Pvt Ltd","Private Company","IN","","Electronics — mobile phones, chargers, components. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"UPS and power electronics","Product / Component","","ai_infrastructure","UPS, power electronics, switchgear and transformers are critical data-centre electrical layers."
"Urban mining / critical mineral recycling","Opportunity surface","IN","critical_minerals","Backed by the Rs.1,500 crore Ministry of Mines scheme (3 Sep 2025); 270-300 kt/year capacity target."
"VA Tech WABAG Limited","Private Company","IN","semiconductors","WABAG: water and waste treatment specialist"
"Varex Imaging","Foreign Supplier","US","ai_medtech","X-ray tubes and flat-panel detectors; core imaging-component supplier."
"Vector India Institute","Private Company","IN","semiconductors","Vector India: premium ISO-certified VLSI and Embedded Systems training institute"
"Vedanta Limited","Private Company","IN","critical_minerals","Major private copper smelter/refiner (Tuticorin shut since 2018); REPM magnet bidder."
"Vimag Labs","Private Company","IN","critical_minerals","Indian startup developing rare-earth-free (magnet-free) EV traction-motor technology, targeting traction motors that eliminate NdFeB permanent magnets and the associated China-controlled magnet supply chain."
"Vinati Organics","Private Company","IN","semiconductors","Indian specialty intermediates; potential photoresist resin precursor"
"Voltas Limited","Private Company","IN","semiconductors","Voltas: major Indian HVAC supplier"
"VYOMA AI Data Centre (L&T)","Facility / Plant","IN","","250 MW AI data centre. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"WavyLabs","Private Company","IN","ai_medtech","WavyLabs official site describes AI ECG platform; limited independent corroboration of deployments."
"Wipro","Private Company","IN","enterprise_software","IT-services major; early failed product attempt (Instaplan) illustrates the structural product gap."
"Wipro Infrastructure Engineering (Wipro Healthcare & Medical Devices)","Private Company","IN","ai_medtech","Wipro Infrastructure Engineering has medical device manufacturing capability."
"Wolfspeed","Foreign Supplier","US","defence","SiC devices and substrates. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Wolfspeed Inc.","Foreign Supplier","US","semiconductors","Largest SiC substrate supplier"
"Yotta D1 Greater Noida","Facility / Plant","IN","ai_infrastructure","Yotta D1 is a Greater Noida hyperscale facility listed at 30 MW IT load, expandable to 50 MW across the campus."
"Yotta Data Services","Private Company","IN","","Yotta is an Indian data-centre and GPU-cloud provider."
"Yotta Data Services Private Limited","Private Company","IN","ai_infrastructure","Most load-bearing IndiaAI GPU node — largest tender allocation and host of Sarvam's sovereign-model cluster."
"Yotta NM1 Navi Mumbai","Facility / Plant","IN","ai_infrastructure","Yotta NM1 is a Navi Mumbai Tier IV facility listed by Yotta at 820,000 sq ft, 7,000-plus racks and 52 MW IT load, with the campus scalable to 1 GW."
"Zen Technologies Limited","Private Company","IN","defence","Counter-UAS / simulation. Based in Hyderabad, Telangana; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Zhongke Sanhuan","Foreign Supplier","CN","critical_minerals","Sintered NdFeB magnets. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Zoho Corporation","Private Company","IN","enterprise_software","Bootstrapped Indian SaaS suite; revenue >Rs 12,000 cr FY25, profitable. Leading candidate for a sovereign enterprise-software suite."
